City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,tazovskiy,67.4667,78.7,-31.82,99,24,2.92,RU,1674456809
322,clyde river,70.4692,-68.5914,-30.87,76,100,12.86,CA,1674456810
323,vardo,70.3705,31.1107,-2.01,80,100,13.38,NO,1674456810
324,imeni zhelyabova,58.9544,36.5956,-13.75,99,100,1.27,RU,1674456810
325,saint george,37.1041,-113.5841,1.81,49,100,3.13,US,1674456594
326,vargem alta,-20.6714,-41.0069,18.95,95,100,1.64,BR,1674456734
327,kommunar,59.6206,30.39,-4.26,96,97,0.87,RU,1674456811
328,nanortalik,60.1432,-45.2371,-4.99,61,100,3.93,GL,1674456811
329,shu,43.5983,73.7614,-10.2,85,37,3.15,KZ,1674456812
330,tahoua,14.8888,5.2692,16.99,22,0,2.06,NE,1674456812
331,vostok,46.4856,135.8833,-24.45,93,100,2.02,RU,1674456812
332,fairbanks,64.8378,-147.7164,-28.0,76,100,0.0,US,1674456699
333,wagar,16.1525,36.2032,25.76,55,5,4.19,SD,1674456813
334,bien hoa,10.95,106.8167,33.99,48,89,0.82,VN,1674456813
335,paka,4.6374,103.4368,29.1,79,40,4.63,MY,1674456813
336,kualakapuas,-3.0091,114.3876,28.64,78,93,1.67,ID,1674456814
337,hirado,33.3597,129.5531,10.77,66,100,9.86,JP,1674456814
338,shimoda,34.6667,138.95,8.2,70,95,2.58,JP,1674456687
339,zyryanovsk,49.7386,84.2719,-18.4,76,100,0.56,KZ,1674456815
340,puerto quijarro,-17.7833,-57.7667,24.06,82,12,0.96,BO,1674456815
341,mogadishu,2.0371,45.3438,27.68,70,8,9.82,SO,1674456815
342,sulangan,11.1373,123.7228,26.29,82,100,5.85,PH,1674456816
343,hobyo,5.3505,48.5268,26.68,65,8,10.28,SO,1674456816
344,fernie,49.5,-115.0687,-6.89,98,100,0.73,CA,1674456816
345,tibagi,-24.5094,-50.4136,18.24,96,100,1.08,BR,1674456733
346,teguise,29.0605,-13.564,14.12,72,20,5.14,ES,1674456817
347,luderitz,-26.6481,15.1594,20.61,69,1,6.91,NA,1674456817
348,vila franca do campo,37.7167,-25.4333,15.23,84,6,6.05,PT,1674456817
349,olga,43.7444,135.2892,-11.54,60,88,4.05,RU,1674456818
350,labuan,5.2767,115.2417,28.2,83,20,1.03,MY,1674456818
351,marigot,18.0667,-63.0833,25.02,73,20,6.17,MF,1674456520
352,ginda,30.6945,78.4932,14.06,14,98,2.8,IN,1674456819
353,okha,53.5739,142.9478,-29.45,92,70,6.48,RU,1674456819
354,upington,-28.4478,21.2561,27.21,47,20,3.09,ZA,1674456819
355,northam,51.0333,-4.2167,4.23,87,100,3.41,GB,1674456820
356,williston,48.147,-103.618,0.41,85,100,3.13,US,1674456543
357,asau,46.4333,26.4,1.51,93,44,1.11,RO,1674456820
358,dezhou,37.4486,116.2925,-2.4,64,100,7.05,CN,1674456820
359,uyuni,-20.4597,-66.825,12.19,55,100,1.96,BO,1674456821
360,kulhudhuffushi,6.6221,73.07,26.47,71,100,2.64,MV,1674456821
361,puerto maldonado,-12.6,-69.1833,21.87,96,18,1.28,PE,1674456821
